Хост;Ping, мс;% доставленных;% недоставленных;Время последнего ping
192.168.0.1;n/a;n/a;n/a;2025-03-06 16:19:50
192.168.1.254;n/a;n/a;n/a;2025-03-06 16:19:50
10.0.0.1;n/a;n/a;n/a;2025-03-06 16:19:49
10.255.255.254;n/a;n/a;n/a;2025-03-06 16:19:50
172.16.0.1;n/a;n/a;n/a;2025-03-06 16:19:50
172.31.255.254;n/a;n/a;n/a;2025-03-06 16:19:49
0.0.0.0;n/a;n/a;n/a;2025-03-06 16:19:51
127.0.0.1;2091;100.0%;0.0%;2025-03-06 16:19:50
169.254.0.1;n/a;n/a;n/a;2025-03-06 16:19:49
224.0.0.1;n/a;n/a;n/a;2025-03-06 16:19:50
240.0.0.1;n/a;n/a;n/a;2025-03-06 16:19:51
8.8.8.8;322227;100.0%;0.0%;2025-03-06 16:19:50
1.1.1.1;66681;100.0%;0.0%;2025-03-06 16:19:51
9.9.9.9;73472;100.0%;0.0%;2025-03-06 16:19:50
208.67.222.222;106084;100.0%;0.0%;2025-03-06 16:19:51
192.0.2.1;n/a;n/a;n/a;2025-03-06 16:19:50
198.51.100.1;n/a;n/a;n/a;2025-03-06 16:19:50
203.0.113.1;n/a;n/a;n/a;2025-03-06 16:19:50
123.45.67.89;n/a;n/a;n/a;2025-03-06 16:19:49
142.251.42.78;466139;100.0%;0.0%;2025-03-06 16:19:50
93.184.216.34;n/a;n/a;n/a;2025-03-06 16:19:50
64.233.160.0;n/a;n/a;n/a;2025-03-06 16:19:49
216.58.213.174;n/a;n/a;n/a;2025-03-06 16:19:50
173.194.73.103;578080;100.0%;0.0%;2025-03-06 16:19:50
209.85.146.100;n/a;n/a;n/a;2025-03-06 16:19:49
66.102.1.100;539185;100.0%;0.0%;2025-03-06 16:19:50
216.239.32.21;321044;100.0%;0.0%;2025-03-06 16:19:50
74.125.224.72;n/a;n/a;n/a;2025-03-06 16:19:50
17.172.224.47;n/a;n/a;n/a;2025-03-06 16:19:49
17.142.160.50;n/a;n/a;n/a;2025-03-06 16:19:50
17.255.255.254;n/a;n/a;n/a;2025-03-06 16:19:50
31.13.72.54;576868;100.0%;0.0%;2025-03-06 16:19:51
31.13.92.36;n/a;n/a;n/a;2025-03-06 16:19:49
38.113.192.1;n/a;n/a;n/a;2025-03-06 16:19:50
